date,period_return,cumulative_return,portfolio_value,portfolio_value_change,num_bought,num_sold,bought_tickers_scores,sold_tickers_scores,bought_avg_score,sold_avg_score
2011-11-17,-0.04332916340489729,1.7258059407179487,2.7258059407179487,-0.12345614238201641,7,7,AAL:-1.6891 | CNC:1.0924 | JNJ:-0.4885 | KR:-0.4168 | ANF:1.1852 | CMI:0.4412 | AN:0.9094,COST:1.4096 | KSS:1.1173 | APA:-1.4191 | KEY:-0.6333 | CNX:-1.5458 | AOS:-0.8283 | CMS:1.0565,0.1476824194594031,-0.12045553801841492
2011-12-17,0.05502972477913487,1.8758062914369882,2.875806291436988,0.1500003507190395,11,11,COST:0.8245 | KSS:0.5720 | KMI:0.7541 | CNX:-0.2948 | JBHT:1.0918 | KG:1.0018 | APH:-0.3951 | KIM:-0.7065 | COR:-0.4772 | AOS:0.6470 | CMS:0.7447,KO:-0.4392 | KMX:0.6188 | IVZ:0.4586 | JNJ:-0.4885 | JBL:0.4902 | KR:-0.4168 | A:-0.3069 | CMI:0.4412 | KDP:-0.9151 | AN:0.9094 | CNP:0.3734,0.342027118904285,0.06592474932201146
2012-01-16,0.03331212550841196,1.9716055115552176,2.9716055115552176,0.09579922011822939,8,8,KO:0.6086 | KMX:0.6568 | APA:-1.3939 | KR:0.5691 | KEY:0.6235 | A:-1.1480 | CMI:-1.1029 | KDP:0.9766,COST:0.8245 | KG:1.0018 | JBHT:1.0918 | APH:-0.3951 | JPM:-1.2858 | KIM:-0.7065 | COR:-0.4772 | AOS:0.6470,-0.026271640032094867,0.08756546232495147
2012-02-15,0.07860502492884588,2.2051886368697113,3.2051886368697113,0.23358312531449377,8,8,IVZ:0.4703 | JBL:0.9001 | COP:-0.7777 | JBHT:0.8146 | APH:0.8850 | KIM:0.3716 | AN:-0.5483 | CNP:-0.8866,KMX:0.6568 | KKR:-0.3117 | KMI:1.4724 | APA:-1.3939 | KEY:0.6235 | KMB:0.8087 | CMS:1.0545 | AMZN:-1.3876,0.15361371885657762,0.19033295035359915
2012-03-16,-0.026224696451309433,2.121133537798617,3.121133537798617,-0.08405509907109421,8,8,AON:-0.7562 | KMI:1.1859 | APA:0.4364 | KG:-0.9960 | JPM:0.3422 | COR:-0.9137 | AOS:0.6619 | AMZN:-1.5221,KO:-0.5269 | KSS:-1.0624 | KR:-0.4587 | A:0.5940 | JBHT:0.8146 | KIM:0.3716 | CNP:-0.8866 | KLAC:0.6956,-0.195197866977334,-0.05735532783293881
2012-04-15,-0.12768170236000936,1.722621894399571,2.722621894399571,-0.3985116433990461,8,8,KMX:1.0981 | JNJ:-0.5500 | KSS:-0.6528 | KR:-0.5040 | KEY:0.2902 | JBHT:0.6648 | CNP:-0.5857 | KLAC:1.4143,AON:-0.7562 | AAL:-0.9522 | JBL:1.9468 | KG:-0.9960 | COR:-0.9137 | CMI:1.7845 | AOS:0.6619 | KDP:-0.6511,0.14685550415500429,0.015499699077388032
2012-05-15,0.036315679060973036,1.8214957573209642,2.8214957573209642,0.09887386292139322,10,10,KO:0.3808 | AAL:3.0000 | AON:0.5248 | KG:-0.7870 | KIM:0.3934 | APD:-0.6361 | KMB:0.5771 | COR:-0.7247 | AOS:0.8435 | CMS:0.4622,IVZ:1.1504 | JNJ:-0.5500 | KMI:1.4420 | KSS:-0.6528 | KR:-0.5040 | KEY:0.2902 | JPM:2.0341 | AN:-0.9724 | KLAC:1.4143 | CNP:-0.5857,0.4033958737046399,0.3066156255043867
2012-06-14,0.04643648099612068,1.9525160914364341,2.952516091436434,0.13102033411546987,9,9,KKR:-0.7244 | KMI:0.3241 | KSS:-0.3374 | JBL:-0.8698 | JPM:-1.0940 | CMI:-0.6552 | KDP:0.5921 | AN:0.5221 | CNP:0.4877,AON:0.5248 | KMX:-0.7924 | COP:-0.5297 | KG:-0.7870 | APH:0.2824 | KIM:0.3934 | APD:-0.6361 | COR:-0.7247 | AMZN:1.2011,-0.19498494519217996,-0.1186823273439649
2012-07-14,0.002751681570666125,1.960640475552335,2.960640475552335,0.008124384115900884,6,6,AON:-0.3620 | KMX:-1.5730 | JNJ:0.5403 | COST:0.8711 | A:-0.7080 | AMZN:0.6389,APA:-0.8893 | JBL:-0.8698 | CNX:-1.1303 | JPM:-1.0940 | CNP:0.4877 | CMS:0.7264,-0.0987577232102163,-0.4615628773545754
2012-08-13,0.015456707766238262,2.006402230183844,3.006402230183844,0.045761754631509,7,7,APA:-0.8693 | KR:-0.8702 | KG:-0.5205 | CNX:-1.4069 | APH:0.7452 | APD:-0.5749 | CMS:0.5948,AON:-0.3620 | AAL:1.2680 | KMX:-1.5730 | JNJ:0.5403 | COST:0.8711 | KSS:-0.6327 | AOS:0.6558,-0.4145402640568788,0.10965988751801602
